"id","code","name","mrp","quantity","amount",
"4","","M'TEK - POWERED","599","1","599",
"7","","PIPED MUSIC BAND","299","3","897",
"8","","AWESOME STRAWSOME","299","2","598",
"10","","GLASS PAINTING CANDLE KIT","399","22","8379",
"11","","CANDLES FROM DESIGNER POT","399","2","798",
"12","","CANDLES FROM PRETTY POT","299","23","6877",
"13","","CANDLES FROM SPARKLING POT POURRIE","349","21","7329",
"14","","GELWAX CANDLES - AQUARIA","299","24","7176",
"15","","GLASS PAINTED CANDLE GOBLETS","399","26","10374",
"16","","SAND ART FESTIVE CANDLE POTS","199","25","4975",
"18","","Foto Memo","399","1","399",
"37","","SAND ART RANGOLI","299","15","4485",
"39","","DIWALI DHAMAKA","549","12","6588",
"42","","SAND ART FESTIVE RANGOLI","199","15","2985",
"44","","CERAMIC ART - PLATES","499","2","998",
"45","","EMBOSSED CERAMIC TILE ART","499","1","499",
"46","","GLASS PAINTING DESIGNER COASTERS","399","2","798",
"64","","SHADOW THEATRE","299","1","299",
"105","","ORIGAMI - UNDER SEA WORLD","249","2","498",
"106","","ORIGAMI FASHION STUDIO","275","2","550",
"107","","AN OMNI BOX OF ORIGAMI OFFERINGS","249","1","249",
"108","","ORIGAMI - FLORAL FIESTA","249","2","498",
"109","","ORIGAMI - IN THE JUNGLE","249","2","498",
"110","","FINGER PAINTING KIT","325","2","650",
"111","","FINGER PAINTING WITH LITTLE FINGERS","249","2","498",
"113","","MASK PARADE","299","1","299",
"117","","CREATE A REAL CLOCK","299","2","598",
"118","","BAG THE GIFTS","449","2","898",
"119","","GROOVY GREETING CARDS","399","1","399",
"121","","FOOLED & FLOORED BY FLORALS","399","2","798",
"124","","PRETTY PRESENTATIONS","299","1","299",
"125","","PAPER QUILLING","275","11","3025",
"126","","PAPER QUILLING - PENCIL TOPS","299","2","598",
"127","","PAPER QUILLED - CARDS","125","13","1625",
"128","","PAPER QUILLING - WRIST BANDS","199","8","1592",
"129","","PAPER QUILLING - JEWELLARY","299","7","2093",
"130","","PAPER QUILLING - PLAY THINGS","299","1","299",
"131","","PAPER QUILLING - FINGER PUPPETS","299","2","598",
"132","","MAMMBOO","299","1","299",
"133","","MOULD & PAINT","299","6","1794",
"134","","MAKE CARS AND DISPLAY","125","1","125",
"135","","M & P - BAKING DELIGHTS","275","2","550",
"136","","M & P - UNDER WATER","185","6","1110",
"137","","MAKE A CANDLE STAND","185","3","555",
"138","","MAKE A PHOTOFRAME","185","2","370",
"139","","MOULD & PAINT - CARS","185","4","740",
"140","","MOULD & PAINT - DINO","185","3","555",
"141","","MOULD & PAINT - GARDEN","185","1","185",
"143","","MOULD & PAINT - MASKS","185","4","740",
"145","","FRUIT MAGNETS","185","11","2035",
"146","","M& P - CUP CAKES","275","1","275",
"147","","SAND ART - JUNGLE","125","1","125",
"148","","PICTURED IN SEQUINS - BUTTERFLIES","125","6","750",
"149","","SAND & SEQUIN CRAFT - MERMAIDS","199","1","199",
"150","","SEQUIN CRAFT - BIRDS","185","2","370",
"151","","SEQUIN CRAFT","185","2","370",
"152","","SAND & SEQUIN CRAFT - BUTTERFLIES","199","1","199",
"153","","SAND ART","185","6","1110",
"154","","SPARKLING HOBBY VISTAS","499","2","998",
"155","","SAND & SEQUIN CRAFT - FAIRY FANTASIES","199","3","597",
"158","","SHELLBINDING CRAFT","699","1","699",
"159","","SHELLBOUND 3","475","2","950",
"160","","SHELL PHOTOFRAMES","185","6","1110",
"161","","SHELL FRIDGE MAGNETS","185","4","740",
"168","","POTS N PAINTS","299","2","598",
"169","","BLOOMS 'N' VASES","599","1","599",
"173","","ORIENTAL FLOWER VASES","399","4","1596",
"175","","PRETTY POTS","399","4","1596",
"176","","SPARKLING POT POURRI","399","7","2793",
"177","","TERRA ART - TRIBAL FACES","350","3","1050",
"178","","TERRACOTTA BONANZA","699","3","2097",
"179","","TERRA TINKLES","299","4","1196",
"184","","STARTER SET - 1","449","1","449",
"185","","M'TEK - ADVANCED SET","699","1","699",
"186","","SANDSATIONAL MADHUBANI","399","2","798",
"188","","PADDY STRAW ART","299","1","299",
"190","","PAPIER MACHE - WARLI","399","1","399",
"191","","SIMPLE & SYMBOLIC SAND ART MADHUBANI","185","2","370",
"193","","WAH RE WAH WARLI","499","3","1497",
"194","","WARLI ART","299","2","598",
"195","","PAINTED TABLEMATS","399","3","1197",
"197","","CROSS STITCH CRAFT","299","2","598",
"200","","DAZZLE WITH DENIM","399","1","399",
"201","","DEMIN MADE DAINTY","399","3","1197",
