"id","code","name","mrp","quantity","amount",
"1","","MINI - CARS","185","99","17584.25",
"2","","MINI - FLYING MACHINES","185","75","13506.85",
"3","","MINI - OFF ROADERS","185","75","13506.85",
"4","","M'TEK - POWERED","599","97","58103",
"5","","M'TEK - CRANES","1250","14","17500",
"6","","FUSE IN - S4","249","12","2988",
"7","","PIPED MUSIC BAND","299","76","22724",
"8","","AWESOME STRAWSOME","299","60","17940",
"9","","FUSE IN","185","26","4810",
"10","","GLASS PAINTING CANDLE KIT","399","158","63042",
"11","","CANDLES FROM DESIGNER POT","399","82","32718",
"12","","CANDLES FROM PRETTY POT","299","138","41262",
"13","","CANDLES FROM SPARKLING POT POURRIE","349","152","53048",
"14","","GELWAX CANDLES - AQUARIA","299","261","78039",
"15","","GLASS PAINTED CANDLE GOBLETS","399","171","68229",
"16","","SAND ART FESTIVE CANDLE POTS","199","261","51343.99",
"17","","Balveer & The Evils Of Bhayankar Pari","549","6","3294",
"18","","Foto Memo","399","24","9576",
"19","","Joy Ride","399","25","9975",
"20","","PANCHO","599","5","2995",
"21","","CLAY N PLAY - CUT OUT MODELS","325","16","5200",
"22","","WHAT'S YOURS LIKE?","499","2","998",
"23","","Eskimemo","599","9","5391",
"24","","SUNDERBANS","499","2","998",
"25","","KURUKSHETRA","699","1","699",
"26","","SABBURBIA","599","7","4193",
"27","","Love It - Hate It","599","6","3594",
"28","","Safarikiki","399","15","5985",
"29","","HT - I LOVE MUMBAI","449","4","1796",
"30","","JEWELS OF TARA","349","3","1047",
"31","","CHECOLO","399","31","12369",
"32","","WORDSKILL","299","4","1196",
"33","","Sudoku","399","6","2394",
"34","","NITRO","499","1","499",
"35","","HT - I LOVE DELHI","449","1","449",
"36","","SUDOKU - CHALLENGE","499","13","6487",
"37","","SAND ART RANGOLI","299","104","31096",
"38","","CHRISTMAS CARDS","125","14","1750",
"39","","DIWALI DHAMAKA","549","111","60939",
"40","","GO ARTY WITH GANESHA","399","34","13566",
"41","","HOBBY WITH HOLY GANESHA","399","23","9177",
"42","","SAND ART FESTIVE RANGOLI","199","186","36518.49",
"43","","MAKE YOUR OWN X'MAS TREE","399","30","11970",
"44","","CERAMIC ART - PLATES","499","38","18962",
"45","","EMBOSSED CERAMIC TILE ART","499","18","8982",
"46","","GLASS PAINTING DESIGNER COASTERS","399","26","10374",
"47","","HEAD & TAIL - FARM","175","51","8925",
