"product","encode","mrp","distributor","city","area","quantity",
"MINI - CARS","","185","BABA SALES","New Delhi","Rajouri Garden/ Ramesh Nagar/ Kirti Nagar/ Narayana/ Inderpuri","0",
"MINI - CARS","","185","Sk Enterprises","Noida","Noida - 38A, 18, 27","1",
"MINI - CARS","","185","S.M. ENTERPRISES","New Delhi","Kamala Nagar/ Mddel Town/ Ashok Vihar/ Aadarsh Nagar/ Civil-lines/ Mukherjee Nagar","0",
"MINI - CARS","","185","SHUBHI  TOYS","Gurgaon","Gurgaon - 1","1",
"MINI - CARS","","185","SOUMYA INTERNATIONAL","New Delhi","Amar Colony/ G K - 1/ G K - 2/ Kalkaji/ Govindpuri/ Alaknanda","3",
"MINI - CARS","","185","THE KALASH ENTERPRISES","New Delhi","East Delhi","0",
"MINI - CARS","","185","A.S ENTERPRISES","Faridabad","Faridabad - City","0",
"MINI - CARS","","185","Shreejee","Lucknow","Gomti Nagar / Bhutnath / Mahanagar","0",
"MINI - CARS","","185","SHRI RAM MARKETING","Gandhidham","Gandhidham City","0",
"MINI - CARS","","185","PUSHP CREATION","Agra","Agra / Aligarh","0",
"MINI - CARS","","185","BANRAJ ENTERPRISES","Guwhati","Guwhati - City","2",
"MINI - CARS","","185","KANGAROO FOOD'S","Rourkela","Rourkela - City","6",
"MINI - CARS","","185","R.D.MARKETING","Kolkotta","South Lake/ Sector 5/ Technolpolis/ Karunamoi/ Rajahut","2",
"MINI - CARS","","185","EQUATOR TRADE HOUSE","Chennai","ANNANAGAR / SALIGRAMAM/ MUGAPPAIR/ VANAGARAM/ VADAPALANI/ K K NAGER/ T NAGAR / WEST MAMBALAM","4",
"MINI - CARS","","185","LEO AGENCIES","Coimbatore","Coimbatore City","3",
"MINI - CARS","","185","Pragathi Marketing","Bangalore","Indranagar / Thippsandra / Commercial St.","3",
"MINI - CARS","","185","AKSHITHA ENTERPRISES","Hyderabad","Dilsukhnagar / Chetainyapuri / Champapet / Shivam Road/ Immayatnagar","7",
"MINI - CARS","","185","MECOTEX CORPORATION","Pune","BANER / PASHAN","9",
"MINI - CARS","","185","SANTA MARIA TRADERS","Goa","Panjim","18",
"MINI - CARS","","185","Balaji Marketing","Ratnagiri","Ratnagiri","1",
"MINI - CARS","","185","SANJARI ENTERPRISES","Mumbai","BREACH CANDY","0",
"MINI - CARS","","185","SWAYAM ENTERPRISES","Mumbai","Andheri West","16",
"MINI - CARS","","185","Toyotoyz","Mumbai","Ghatkopar / Chembur / Mulund","2",
"MINI - CARS","","185","CHAMUNDA GOGA SALES","Ahmedabad","Satellite/ Jodpur","9",
"MINI - CARS","","185","Parikh Enterprises","Baroda","Baroda - City","0",
"MINI - CARS","","185","RAJESH TRADERS","Indore","Indore - City","5",
