"product","encode","mrp","distributor","city","area","quantity",
"MINI - CARS","","185","SHIV AGENCIES","Jaipur","Jaipur - 1","0",
"MINI - CARS","","185","SHIVAM","Kanpur","Kanpur - City","0",
"MINI - CARS","","185","SINGHANIA SALES","Jhamshedpur","Jhamshedpur - City","1",
"MINI - CARS","","185","Deshraj Trading","Shilong","Shilong City","3",
"MINI - CARS","","185","V S International","New Mumbai","Vashi","0",
"MINI - FLYING MACHINES","","185","BABA SALES","New Delhi","Rajouri Garden/ Ramesh Nagar/ Kirti Nagar/ Narayana/ Inderpuri","0",
"MINI - FLYING MACHINES","","185","Sk Enterprises","Noida","Noida - 38A, 18, 27","1",
"MINI - FLYING MACHINES","","185","S.M. ENTERPRISES","New Delhi","Kamala Nagar/ Mddel Town/ Ashok Vihar/ Aadarsh Nagar/ Civil-lines/ Mukherjee Nagar","0",
"MINI - FLYING MACHINES","","185","SHUBHI  TOYS","Gurgaon","Gurgaon - 1","0",
"MINI - FLYING MACHINES","","185","SOUMYA INTERNATIONAL","New Delhi","Amar Colony/ G K - 1/ G K - 2/ Kalkaji/ Govindpuri/ Alaknanda","3",
"MINI - FLYING MACHINES","","185","THE KALASH ENTERPRISES","New Delhi","East Delhi","0",
"MINI - FLYING MACHINES","","185","A.S ENTERPRISES","Faridabad","Faridabad - City","1",
"MINI - FLYING MACHINES","","185","Shreejee","Lucknow","Gomti Nagar / Bhutnath / Mahanagar","0",
"MINI - FLYING MACHINES","","185","SHRI RAM MARKETING","Gandhidham","Gandhidham City","0",
"MINI - FLYING MACHINES","","185","PUSHP CREATION","Agra","Agra / Aligarh","0",
"MINI - FLYING MACHINES","","185","BANRAJ ENTERPRISES","Guwhati","Guwhati - City","2",
"MINI - FLYING MACHINES","","185","KANGAROO FOOD'S","Rourkela","Rourkela - City","7",
"MINI - FLYING MACHINES","","185","R.D.MARKETING","Kolkotta","South Lake/ Sector 5/ Technolpolis/ Karunamoi/ Rajahut","2",
"MINI - FLYING MACHINES","","185","EQUATOR TRADE HOUSE","Chennai","ANNANAGAR / SALIGRAMAM/ MUGAPPAIR/ VANAGARAM/ VADAPALANI/ K K NAGER/ T NAGAR / WEST MAMBALAM","5",
"MINI - FLYING MACHINES","","185","LEO AGENCIES","Coimbatore","Coimbatore City","2",
"MINI - FLYING MACHINES","","185","Pragathi Marketing","Bangalore","Indranagar / Thippsandra / Commercial St.","2",
"MINI - FLYING MACHINES","","185","AKSHITHA ENTERPRISES","Hyderabad","Dilsukhnagar / Chetainyapuri / Champapet / Shivam Road/ Immayatnagar","4",
"MINI - FLYING MACHINES","","185","MECOTEX CORPORATION","Pune","BANER / PASHAN","6",
"MINI - FLYING MACHINES","","185","SANTA MARIA TRADERS","Goa","Panjim","13",
"MINI - FLYING MACHINES","","185","Balaji Marketing","Ratnagiri","Ratnagiri","1",
"MINI - FLYING MACHINES","","185","SANJARI ENTERPRISES","Mumbai","BREACH CANDY","0",
"MINI - FLYING MACHINES","","185","SWAYAM ENTERPRISES","Mumbai","Andheri West","2",
"MINI - FLYING MACHINES","","185","Toyotoyz","Mumbai","Ghatkopar / Chembur / Mulund","2",
"MINI - FLYING MACHINES","","185","CHAMUNDA GOGA SALES","Ahmedabad","Satellite/ Jodpur","9",
"MINI - FLYING MACHINES","","185","Parikh Enterprises","Baroda","Baroda - City","0",
"MINI - FLYING MACHINES","","185","RAJESH TRADERS","Indore","Indore - City","4",
"MINI - FLYING MACHINES","","185","SHIV AGENCIES","Jaipur","Jaipur - 1","0",
"MINI - FLYING MACHINES","","185","SHIVAM","Kanpur","Kanpur - City","0",
"MINI - FLYING MACHINES","","185","SINGHANIA SALES","Jhamshedpur","Jhamshedpur - City","1",
"MINI - FLYING MACHINES","","185","Deshraj Trading","Shilong","Shilong City","5",
"MINI - FLYING MACHINES","","185","V S International","New Mumbai","Vashi","0",
"MINI - OFF ROADERS","","185","BABA SALES","New Delhi","Rajouri Garden/ Ramesh Nagar/ Kirti Nagar/ Narayana/ Inderpuri","0",
"MINI - OFF ROADERS","","185","Sk Enterprises","Noida","Noida - 38A, 18, 27","1",
"MINI - OFF ROADERS","","185","S.M. ENTERPRISES","New Delhi","Kamala Nagar/ Mddel Town/ Ashok Vihar/ Aadarsh Nagar/ Civil-lines/ Mukherjee Nagar","0",
"MINI - OFF ROADERS","","185","SHUBHI  TOYS","Gurgaon","Gurgaon - 1","0",
"MINI - OFF ROADERS","","185","SOUMYA INTERNATIONAL","New Delhi","Amar Colony/ G K - 1/ G K - 2/ Kalkaji/ Govindpuri/ Alaknanda","3",
"MINI - OFF ROADERS","","185","THE KALASH ENTERPRISES","New Delhi","East Delhi","0",
"MINI - OFF ROADERS","","185","A.S ENTERPRISES","Faridabad","Faridabad - City","0",
"MINI - OFF ROADERS","","185","Shreejee","Lucknow","Gomti Nagar / Bhutnath / Mahanagar","0",
"MINI - OFF ROADERS","","185","SHRI RAM MARKETING","Gandhidham","Gandhidham City","0",
"MINI - OFF ROADERS","","185","PUSHP CREATION","Agra","Agra / Aligarh","0",
"MINI - OFF ROADERS","","185","BANRAJ ENTERPRISES","Guwhati","Guwhati - City","2",
"MINI - OFF ROADERS","","185","KANGAROO FOOD'S","Rourkela","Rourkela - City","4",
"MINI - OFF ROADERS","","185","R.D.MARKETING","Kolkotta","South Lake/ Sector 5/ Technolpolis/ Karunamoi/ Rajahut","2",
"MINI - OFF ROADERS","","185","EQUATOR TRADE HOUSE","Chennai","ANNANAGAR / SALIGRAMAM/ MUGAPPAIR/ VANAGARAM/ VADAPALANI/ K K NAGER/ T NAGAR / WEST MAMBALAM","9",
"MINI - OFF ROADERS","","185","LEO AGENCIES","Coimbatore","Coimbatore City","3",
"MINI - OFF ROADERS","","185","Pragathi Marketing","Bangalore","Indranagar / Thippsandra / Commercial St.","4",
"MINI - OFF ROADERS","","185","AKSHITHA ENTERPRISES","Hyderabad","Dilsukhnagar / Chetainyapuri / Champapet / Shivam Road/ Immayatnagar","5",
"MINI - OFF ROADERS","","185","MECOTEX CORPORATION","Pune","BANER / PASHAN","6",
"MINI - OFF ROADERS","","185","SANTA MARIA TRADERS","Goa","Panjim","9",
"MINI - OFF ROADERS","","185","Balaji Marketing","Ratnagiri","Ratnagiri","0",
"MINI - OFF ROADERS","","185","SANJARI ENTERPRISES","Mumbai","BREACH CANDY","0",
"MINI - OFF ROADERS","","185","SWAYAM ENTERPRISES","Mumbai","Andheri West","1",
"MINI - OFF ROADERS","","185","Toyotoyz","Mumbai","Ghatkopar / Chembur / Mulund","2",
"MINI - OFF ROADERS","","185","CHAMUNDA GOGA SALES","Ahmedabad","Satellite/ Jodpur","10",
"MINI - OFF ROADERS","","185","Parikh Enterprises","Baroda","Baroda - City","0",
"MINI - OFF ROADERS","","185","RAJESH TRADERS","Indore","Indore - City","5",
"MINI - OFF ROADERS","","185","SHIV AGENCIES","Jaipur","Jaipur - 1","0",
"MINI - OFF ROADERS","","185","SHIVAM","Kanpur","Kanpur - City","0",
"MINI - OFF ROADERS","","185","SINGHANIA SALES","Jhamshedpur","Jhamshedpur - City","0",
"MINI - OFF ROADERS","","185","Deshraj Trading","Shilong","Shilong City","7",
"MINI - OFF ROADERS","","185","V S International","New Mumbai","Vashi","0",
"M'TEK - POWERED","","599","BABA SALES","New Delhi","Rajouri Garden/ Ramesh Nagar/ Kirti Nagar/ Narayana/ Inderpuri","0",
"M'TEK - POWERED","","599","Sk Enterprises","Noida","Noida - 38A, 18, 27","3",
"M'TEK - POWERED","","599","S.M. ENTERPRISES","New Delhi","Kamala Nagar/ Mddel Town/ Ashok Vihar/ Aadarsh Nagar/ Civil-lines/ Mukherjee Nagar","13",
"M'TEK - POWERED","","599","SHUBHI  TOYS","Gurgaon","Gurgaon - 1","4",
"M'TEK - POWERED","","599","SOUMYA INTERNATIONAL","New Delhi","Amar Colony/ G K - 1/ G K - 2/ Kalkaji/ Govindpuri/ Alaknanda","5",
"M'TEK - POWERED","","599","THE KALASH ENTERPRISES","New Delhi","East Delhi","1",
"M'TEK - POWERED","","599","A.S ENTERPRISES","Faridabad","Faridabad - City","5",
"M'TEK - POWERED","","599","Shreejee","Lucknow","Gomti Nagar / Bhutnath / Mahanagar","4",
"M'TEK - POWERED","","599","SHRI RAM MARKETING","Gandhidham","Gandhidham City","2",
"M'TEK - POWERED","","599","PUSHP CREATION","Agra","Agra / Aligarh","3",
"M'TEK - POWERED","","599","BANRAJ ENTERPRISES","Guwhati","Guwhati - City","1",
"M'TEK - POWERED","","599","KANGAROO FOOD'S","Rourkela","Rourkela - City","6",
"M'TEK - POWERED","","599","R.D.MARKETING","Kolkotta","South Lake/ Sector 5/ Technolpolis/ Karunamoi/ Rajahut","3",
"M'TEK - POWERED","","599","EQUATOR TRADE HOUSE","Chennai","ANNANAGAR / SALIGRAMAM/ MUGAPPAIR/ VANAGARAM/ VADAPALANI/ K K NAGER/ T NAGAR / WEST MAMBALAM","4",
"M'TEK - POWERED","","599","LEO AGENCIES","Coimbatore","Coimbatore City","0",
"M'TEK - POWERED","","599","Pragathi Marketing","Bangalore","Indranagar / Thippsandra / Commercial St.","7",
"M'TEK - POWERED","","599","AKSHITHA ENTERPRISES","Hyderabad","Dilsukhnagar / Chetainyapuri / Champapet / Shivam Road/ Immayatnagar","0",
"M'TEK - POWERED","","599","MECOTEX CORPORATION","Pune","BANER / PASHAN","5",
"M'TEK - POWERED","","599","SANTA MARIA TRADERS","Goa","Panjim","1",
"M'TEK - POWERED","","599","Balaji Marketing","Ratnagiri","Ratnagiri","1",
"M'TEK - POWERED","","599","SANJARI ENTERPRISES","Mumbai","BREACH CANDY","0",
"M'TEK - POWERED","","599","SWAYAM ENTERPRISES","Mumbai","Andheri West","11",
"M'TEK - POWERED","","599","Toyotoyz","Mumbai","Ghatkopar / Chembur / Mulund","1",
"M'TEK - POWERED","","599","CHAMUNDA GOGA SALES","Ahmedabad","Satellite/ Jodpur","7",
"M'TEK - POWERED","","599","Parikh Enterprises","Baroda","Baroda - City","0",
"M'TEK - POWERED","","599","RAJESH TRADERS","Indore","Indore - City","4",
"M'TEK - POWERED","","599","SHIV AGENCIES","Jaipur","Jaipur - 1","0",
"M'TEK - POWERED","","599","SHIVAM","Kanpur","Kanpur - City","1",
"M'TEK - POWERED","","599","SINGHANIA SALES","Jhamshedpur","Jhamshedpur - City","0",
"M'TEK - POWERED","","599","Deshraj Trading","Shilong","Shilong City","3",
"M'TEK - POWERED","","599","V S International","New Mumbai","Vashi","0",
"FUSE IN - S4","","249","BABA SALES","New Delhi","Rajouri Garden/ Ramesh Nagar/ Kirti Nagar/ Narayana/ Inderpuri","0",
"FUSE IN - S4","","249","Sk Enterprises","Noida","Noida - 38A, 18, 27","0",
"FUSE IN - S4","","249","S.M. ENTERPRISES","New Delhi","Kamala Nagar/ Mddel Town/ Ashok Vihar/ Aadarsh Nagar/ Civil-lines/ Mukherjee Nagar","0",
"FUSE IN - S4","","249","SHUBHI  TOYS","Gurgaon","Gurgaon - 1","3",
"FUSE IN - S4","","249","SOUMYA INTERNATIONAL","New Delhi","Amar Colony/ G K - 1/ G K - 2/ Kalkaji/ Govindpuri/ Alaknanda","0",
"FUSE IN - S4","","249","THE KALASH ENTERPRISES","New Delhi","East Delhi","0",
"FUSE IN - S4","","249","A.S ENTERPRISES","Faridabad","Faridabad - City","0",
"FUSE IN - S4","","249","Shreejee","Lucknow","Gomti Nagar / Bhutnath / Mahanagar","0",
"FUSE IN - S4","","249","SHRI RAM MARKETING","Gandhidham","Gandhidham City","0",
"FUSE IN - S4","","249","PUSHP CREATION","Agra","Agra / Aligarh","0",
"FUSE IN - S4","","249","BANRAJ ENTERPRISES","Guwhati","Guwhati - City","0",
"FUSE IN - S4","","249","KANGAROO FOOD'S","Rourkela","Rourkela - City","0",
"FUSE IN - S4","","249","R.D.MARKETING","Kolkotta","South Lake/ Sector 5/ Technolpolis/ Karunamoi/ Rajahut","0",
"FUSE IN - S4","","249","EQUATOR TRADE HOUSE","Chennai","ANNANAGAR / SALIGRAMAM/ MUGAPPAIR/ VANAGARAM/ VADAPALANI/ K K NAGER/ T NAGAR / WEST MAMBALAM","4",
"FUSE IN - S4","","249","LEO AGENCIES","Coimbatore","Coimbatore City","0",
"FUSE IN - S4","","249","Pragathi Marketing","Bangalore","Indranagar / Thippsandra / Commercial St.","4",
"FUSE IN - S4","","249","AKSHITHA ENTERPRISES","Hyderabad","Dilsukhnagar / Chetainyapuri / Champapet / Shivam Road/ Immayatnagar","0",
"FUSE IN - S4","","249","MECOTEX CORPORATION","Pune","BANER / PASHAN","0",
"FUSE IN - S4","","249","SANTA MARIA TRADERS","Goa","Panjim","0",
"FUSE IN - S4","","249","Balaji Marketing","Ratnagiri","Ratnagiri","0",
"FUSE IN - S4","","249","SANJARI ENTERPRISES","Mumbai","BREACH CANDY","0",
"FUSE IN - S4","","249","SWAYAM ENTERPRISES","Mumbai","Andheri West","0",
"FUSE IN - S4","","249","Toyotoyz","Mumbai","Ghatkopar / Chembur / Mulund","1",
"FUSE IN - S4","","249","CHAMUNDA GOGA SALES","Ahmedabad","Satellite/ Jodpur","0",
"FUSE IN - S4","","249","Parikh Enterprises","Baroda","Baroda - City","0",
"FUSE IN - S4","","249","RAJESH TRADERS","Indore","Indore - City","0",
"FUSE IN - S4","","249","SHIV AGENCIES","Jaipur","Jaipur - 1","0",
"FUSE IN - S4","","249","SHIVAM","Kanpur","Kanpur - City","0",
"FUSE IN - S4","","249","SINGHANIA SALES","Jhamshedpur","Jhamshedpur - City","0",
"FUSE IN - S4","","249","Deshraj Trading","Shilong","Shilong City","0",
"FUSE IN - S4","","249","V S International","New Mumbai","Vashi","0",
"PIPED MUSIC BAND","","299","BABA SALES","New Delhi","Rajouri Garden/ Ramesh Nagar/ Kirti Nagar/ Narayana/ Inderpuri","0",
"PIPED MUSIC BAND","","299","Sk Enterprises","Noida","Noida - 38A, 18, 27","1",
"PIPED MUSIC BAND","","299","S.M. ENTERPRISES","New Delhi","Kamala Nagar/ Mddel Town/ Ashok Vihar/ Aadarsh Nagar/ Civil-lines/ Mukherjee Nagar","3",
"PIPED MUSIC BAND","","299","SHUBHI  TOYS","Gurgaon","Gurgaon - 1","2",
"PIPED MUSIC BAND","","299","SOUMYA INTERNATIONAL","New Delhi","Amar Colony/ G K - 1/ G K - 2/ Kalkaji/ Govindpuri/ Alaknanda","4",
"PIPED MUSIC BAND","","299","THE KALASH ENTERPRISES","New Delhi","East Delhi","0",
"PIPED MUSIC BAND","","299","A.S ENTERPRISES","Faridabad","Faridabad - City","0",
"PIPED MUSIC BAND","","299","Shreejee","Lucknow","Gomti Nagar / Bhutnath / Mahanagar","0",
"PIPED MUSIC BAND","","299","SHRI RAM MARKETING","Gandhidham","Gandhidham City","1",
"PIPED MUSIC BAND","","299","PUSHP CREATION","Agra","Agra / Aligarh","0",
"PIPED MUSIC BAND","","299","BANRAJ ENTERPRISES","Guwhati","Guwhati - City","1",
"PIPED MUSIC BAND","","299","KANGAROO FOOD'S","Rourkela","Rourkela - City","3",
"PIPED MUSIC BAND","","299","R.D.MARKETING","Kolkotta","South Lake/ Sector 5/ Technolpolis/ Karunamoi/ Rajahut","3",
"PIPED MUSIC BAND","","299","EQUATOR TRADE HOUSE","Chennai","ANNANAGAR / SALIGRAMAM/ MUGAPPAIR/ VANAGARAM/ VADAPALANI/ K K NAGER/ T NAGAR / WEST MAMBALAM","11",
"PIPED MUSIC BAND","","299","LEO AGENCIES","Coimbatore","Coimbatore City","0",
"PIPED MUSIC BAND","","299","Pragathi Marketing","Bangalore","Indranagar / Thippsandra / Commercial St.","6",
"PIPED MUSIC BAND","","299","AKSHITHA ENTERPRISES","Hyderabad","Dilsukhnagar / Chetainyapuri / Champapet / Shivam Road/ Immayatnagar","16",
"PIPED MUSIC BAND","","299","MECOTEX CORPORATION","Pune","BANER / PASHAN","5",
"PIPED MUSIC BAND","","299","SANTA MARIA TRADERS","Goa","Panjim","0",
"PIPED MUSIC BAND","","299","Balaji Marketing","Ratnagiri","Ratnagiri","0",
"PIPED MUSIC BAND","","299","SANJARI ENTERPRISES","Mumbai","BREACH CANDY","1",
"PIPED MUSIC BAND","","299","SWAYAM ENTERPRISES","Mumbai","Andheri West","6",
"PIPED MUSIC BAND","","299","Toyotoyz","Mumbai","Ghatkopar / Chembur / Mulund","1",
"PIPED MUSIC BAND","","299","CHAMUNDA GOGA SALES","Ahmedabad","Satellite/ Jodpur","3",
"PIPED MUSIC BAND","","299","Parikh Enterprises","Baroda","Baroda - City","1",
"PIPED MUSIC BAND","","299","RAJESH TRADERS","Indore","Indore - City","2",
"PIPED MUSIC BAND","","299","SHIV AGENCIES","Jaipur","Jaipur - 1","1",
"PIPED MUSIC BAND","","299","SHIVAM","Kanpur","Kanpur - City","0",
"PIPED MUSIC BAND","","299","SINGHANIA SALES","Jhamshedpur","Jhamshedpur - City","1",
"PIPED MUSIC BAND","","299","Deshraj Trading","Shilong","Shilong City","3",
"PIPED MUSIC BAND","","299","V S International","New Mumbai","Vashi","0",
"AWESOME STRAWSOME","","299","BABA SALES","New Delhi","Rajouri Garden/ Ramesh Nagar/ Kirti Nagar/ Narayana/ Inderpuri","0",
"AWESOME STRAWSOME","","299","Sk Enterprises","Noida","Noida - 38A, 18, 27","1",
"AWESOME STRAWSOME","","299","S.M. ENTERPRISES","New Delhi","Kamala Nagar/ Mddel Town/ Ashok Vihar/ Aadarsh Nagar/ Civil-lines/ Mukherjee Nagar","2",
"AWESOME STRAWSOME","","299","SHUBHI  TOYS","Gurgaon","Gurgaon - 1","1",
"AWESOME STRAWSOME","","299","SOUMYA INTERNATIONAL","New Delhi","Amar Colony/ G K - 1/ G K - 2/ Kalkaji/ Govindpuri/ Alaknanda","5",
"AWESOME STRAWSOME","","299","THE KALASH ENTERPRISES","New Delhi","East Delhi","0",
"AWESOME STRAWSOME","","299","A.S ENTERPRISES","Faridabad","Faridabad - City","0",
"AWESOME STRAWSOME","","299","Shreejee","Lucknow","Gomti Nagar / Bhutnath / Mahanagar","1",
"AWESOME STRAWSOME","","299","SHRI RAM MARKETING","Gandhidham","Gandhidham City","2",
"AWESOME STRAWSOME","","299","PUSHP CREATION","Agra","Agra / Aligarh","0",
"AWESOME STRAWSOME","","299","BANRAJ ENTERPRISES","Guwhati","Guwhati - City","1",
"AWESOME STRAWSOME","","299","KANGAROO FOOD'S","Rourkela","Rourkela - City","2",
"AWESOME STRAWSOME","","299","R.D.MARKETING","Kolkotta","South Lake/ Sector 5/ Technolpolis/ Karunamoi/ Rajahut","3",
"AWESOME STRAWSOME","","299","EQUATOR TRADE HOUSE","Chennai","ANNANAGAR / SALIGRAMAM/ MUGAPPAIR/ VANAGARAM/ VADAPALANI/ K K NAGER/ T NAGAR / WEST MAMBALAM","9",
"AWESOME STRAWSOME","","299","LEO AGENCIES","Coimbatore","Coimbatore City","0",
"AWESOME STRAWSOME","","299","Pragathi Marketing","Bangalore","Indranagar / Thippsandra / Commercial St.","6",
"AWESOME STRAWSOME","","299","AKSHITHA ENTERPRISES","Hyderabad","Dilsukhnagar / Chetainyapuri / Champapet / Shivam Road/ Immayatnagar","2",
"AWESOME STRAWSOME","","299","MECOTEX CORPORATION","Pune","BANER / PASHAN","1",
"AWESOME STRAWSOME","","299","SANTA MARIA TRADERS","Goa","Panjim","1",
"AWESOME STRAWSOME","","299","Balaji Marketing","Ratnagiri","Ratnagiri","0",
"AWESOME STRAWSOME","","299","SANJARI ENTERPRISES","Mumbai","BREACH CANDY","1",
"AWESOME STRAWSOME","","299","SWAYAM ENTERPRISES","Mumbai","Andheri West","9",
"AWESOME STRAWSOME","","299","Toyotoyz","Mumbai","Ghatkopar / Chembur / Mulund","1",
"AWESOME STRAWSOME","","299","CHAMUNDA GOGA SALES","Ahmedabad","Satellite/ Jodpur","5",
"AWESOME STRAWSOME","","299","Parikh Enterprises","Baroda","Baroda - City","1",
"AWESOME STRAWSOME","","299","RAJESH TRADERS","Indore","Indore - City","1",
"AWESOME STRAWSOME","","299","SHIV AGENCIES","Jaipur","Jaipur - 1","1",
"AWESOME STRAWSOME","","299","SHIVAM","Kanpur","Kanpur - City","0",
"AWESOME STRAWSOME","","299","SINGHANIA SALES","Jhamshedpur","Jhamshedpur - City","1",
"AWESOME STRAWSOME","","299","Deshraj Trading","Shilong","Shilong City","2",
"AWESOME STRAWSOME","","299","V S International","New Mumbai","Vashi","0",
"FUSE IN","","185","BABA SALES","New Delhi","Rajouri Garden/ Ramesh Nagar/ Kirti Nagar/ Narayana/ Inderpuri","0",
"FUSE IN","","185","Sk Enterprises","Noida","Noida - 38A, 18, 27","2",
"FUSE IN","","185","S.M. ENTERPRISES","New Delhi","Kamala Nagar/ Mddel Town/ Ashok Vihar/ Aadarsh Nagar/ Civil-lines/ Mukherjee Nagar","0",
"FUSE IN","","185","SHUBHI  TOYS","Gurgaon","Gurgaon - 1","2",
"FUSE IN","","185","SOUMYA INTERNATIONAL","New Delhi","Amar Colony/ G K - 1/ G K - 2/ Kalkaji/ Govindpuri/ Alaknanda","0",
"FUSE IN","","185","THE KALASH ENTERPRISES","New Delhi","East Delhi","0",
"FUSE IN","","185","A.S ENTERPRISES","Faridabad","Faridabad - City","0",
"FUSE IN","","185","Shreejee","Lucknow","Gomti Nagar / Bhutnath / Mahanagar","0",
"FUSE IN","","185","SHRI RAM MARKETING","Gandhidham","Gandhidham City","0",
"FUSE IN","","185","PUSHP CREATION","Agra","Agra / Aligarh","0",
"FUSE IN","","185","BANRAJ ENTERPRISES","Guwhati","Guwhati - City","0",
"FUSE IN","","185","KANGAROO FOOD'S","Rourkela","Rourkela - City","0",
"FUSE IN","","185","R.D.MARKETING","Kolkotta","South Lake/ Sector 5/ Technolpolis/ Karunamoi/ Rajahut","13",
"FUSE IN","","185","EQUATOR TRADE HOUSE","Chennai","ANNANAGAR / SALIGRAMAM/ MUGAPPAIR/ VANAGARAM/ VADAPALANI/ K K NAGER/ T NAGAR / WEST MAMBALAM","4",
"FUSE IN","","185","LEO AGENCIES","Coimbatore","Coimbatore City","0",
"FUSE IN","","185","Pragathi Marketing","Bangalore","Indranagar / Thippsandra / Commercial St.","3",
"FUSE IN","","185","AKSHITHA ENTERPRISES","Hyderabad","Dilsukhnagar / Chetainyapuri / Champapet / Shivam Road/ Immayatnagar","0",
"FUSE IN","","185","MECOTEX CORPORATION","Pune","BANER / PASHAN","0",
"FUSE IN","","185","SANTA MARIA TRADERS","Goa","Panjim","1",
"FUSE IN","","185","Balaji Marketing","Ratnagiri","Ratnagiri","0",
"FUSE IN","","185","SANJARI ENTERPRISES","Mumbai","BREACH CANDY","0",
"FUSE IN","","185","SWAYAM ENTERPRISES","Mumbai","Andheri West","0",
"FUSE IN","","185","Toyotoyz","Mumbai","Ghatkopar / Chembur / Mulund","0",
"FUSE IN","","185","CHAMUNDA GOGA SALES","Ahmedabad","Satellite/ Jodpur","0",
"FUSE IN","","185","Parikh Enterprises","Baroda","Baroda - City","0",
"FUSE IN","","185","RAJESH TRADERS","Indore","Indore - City","0",
"FUSE IN","","185","SHIV AGENCIES","Jaipur","Jaipur - 1","0",
"FUSE IN","","185","SHIVAM","Kanpur","Kanpur - City","1",
"FUSE IN","","185","SINGHANIA SALES","Jhamshedpur","Jhamshedpur - City","0",
"FUSE IN","","185","Deshraj Trading","Shilong","Shilong City","0",
"FUSE IN","","185","V S International","New Mumbai","Vashi","0",
"GLASS PAINTED CANDLE GOBLETS","","399","BABA SALES","New Delhi","Rajouri Garden/ Ramesh Nagar/ Kirti Nagar/ Narayana/ Inderpuri","0",
"GLASS PAINTED CANDLE GOBLETS","","399","Sk Enterprises","Noida","Noida - 38A, 18, 27","1",
"GLASS PAINTED CANDLE GOBLETS","","399","S.M. ENTERPRISES","New Delhi","Kamala Nagar/ Mddel Town/ Ashok Vihar/ Aadarsh Nagar/ Civil-lines/ Mukherjee Nagar","0",
"GLASS PAINTED CANDLE GOBLETS","","399","SHUBHI  TOYS","Gurgaon","Gurgaon - 1","19",
"GLASS PAINTED CANDLE GOBLETS","","399","SOUMYA INTERNATIONAL","New Delhi","Amar Colony/ G K - 1/ G K - 2/ Kalkaji/ Govindpuri/ Alaknanda","27",
"GLASS PAINTED CANDLE GOBLETS","","399","THE KALASH ENTERPRISES","New Delhi","East Delhi","2",
"GLASS PAINTED CANDLE GOBLETS","","399","A.S ENTERPRISES","Faridabad","Faridabad - City","0",
"GLASS PAINTED CANDLE GOBLETS","","399","Shreejee","Lucknow","Gomti Nagar / Bhutnath / Mahanagar","1",
"GLASS PAINTED CANDLE GOBLETS","","399","SHRI RAM MARKETING","Gandhidham","Gandhidham City","4",
"GLASS PAINTED CANDLE GOBLETS","","399","PUSHP CREATION","Agra","Agra / Aligarh","0",
"GLASS PAINTED CANDLE GOBLETS","","399","BANRAJ ENTERPRISES","Guwhati","Guwhati - City","1",
"GLASS PAINTED CANDLE GOBLETS","","399","KANGAROO FOOD'S","Rourkela","Rourkela - City","0",
